,Job Title Cleaned,Company,Industry,Employees_Avg,Followers_Numbers,New Applicants,City,State,Country,Job_type_cleaned,Type of role cleaned
51,privileged access management beyond trust,hcltech,information technology  services,10001,4675781,94,noida,uttar pradesh, india,onsite,fulltime  midsenior level
52,field service technician,evoqua water technologies,environmental services,3000,84683,26,lephripada,odisha, india,onsite,fulltime
53,assistant manager internal controls it,the kraft heinz company,food  beverages,10001,1315994,28,ramban,jammu & kashmir, india,onsite,fulltime  midsenior level
54,business analyst,kyndryl india,information technology  services,10001,46543,69,bangalore urban,karnataka, india,hybrid,fulltime  entry level
55,guidewire claim center developer,aspire systems,information technology  services,3000,95488,17,,,greater chennai area,hybrid,fulltime  midsenior level
56,field service technician,evoqua water technologies,environmental services,3000,84683,26,lephripada,odisha, india,onsite,fulltime
57,datacom developer,capgemini engineering,information technology  services,10001,1675879,14,bengaluru,karnataka, india,hybrid,fulltime  midsenior level
58,stream leadtechnical lead,lentra,information technology  services,350,12971,22,bengaluru,karnataka, india,onsite,fulltime  midsenior level
59,sr application engineer i,johnson controls,mechanical or industrial engineering,10001,1247311,52,pune,maharashtra, india,onsite,fulltime  midsenior level
60,business development executive,byju's,elearning,10001,1799437,17,bengaluru,karnataka, india,onsite,fulltime
61,technical content writer,hops healthcare,health wellness  fitness,126,7012,4,ahmedabad,gujarat, india,onsite,fulltime
62,deputy managerproduction,jubilant pharmova limited,pharmaceuticals,10001,164951,102,nanjangud,karnataka, india,onsite,fulltime  midsenior level
63,tsm tse ase meril trauma division,meril,medical device,3000,63874,200,ranchi,jharkhand, india,onsite,fulltime  midsenior level
64,consultant car,rizing consumer industries,information technology  services,3000,29761,96,bangalore urban,karnataka, india,hybrid,fulltime  director
65,area head direct distribution,bharti axa life insurance,insurance,7500,88546,51,warangal,telangana, india,onsite,fulltime  midsenior level
66,agency development manager,hdfc life insurance,insurance,3000,594,25,chennai,tamil nadu, india,hybrid,fulltime  midsenior level
67,agm technology,matrimony.com limited,computer software,3000,61292,56,chennai,tamil nadu, india,onsite,fulltime  entry level
68,acr stat senior,ey,information technology  services,10001,7366424,19,trivandrum,kerala, india,onsite,fulltime  midsenior level
69,field specialist coiled tubing,baker hughes,oil  energy,10001,2075442,16,rajasthan,, india,onsite,fulltime  entry level
70,senior data engineer,it opendoors llc,computer software,126,2337,8,hyderabad,telangana, india,onsite,fulltime
71,iam specialist directory services staff augmentation,ey,information technology  services,10001,7366426,7,trivandrum,kerala, india,onsite,fulltime  associate
72,sr systems engineer 1sr systems engineer 2 security operations,rakuten india,computer software,3000,203113,41,bengaluru,karnataka, india,onsite,fulltime  midsenior level
73,python web scraping facetoface interview,infiniti research ltd.,market research,750,109865,99,bengaluru,karnataka, india,onsite,contract  entry level
74,software engineer 2 c aspnet mvc api sql,[24]7.ai,computer software,10001,156228,1,bengaluru east,karnataka, india,onsite,fulltime  entry level
75,field specialist coiled tubing,baker hughes,oil  energy,10001,2075443,16,rajasthan,, india,onsite,fulltime  entry level
76,service technician,leslie's,retail,3000,15251,16,salem,tamil nadu, india,onsite,fulltime  executive
77,gcp adminstrator,infosys,information technology  services,10001,6987114,49,pune,maharashtra, india,onsite,fulltime  midsenior level
78,satutory analyst executive,societe generale global solution centre,information technology  services,7500,256274,13,bengaluru,karnataka, india,hybrid,fulltime  entry level
79,payment collection officermumbai,wabtec corporation,railroad manufacture,10001,131451,24,tamil nadu,, india,onsite,fulltime  entry level
80,it unified communications engineer,amd,semiconductors,10001,1068687,112,hyderabad,telangana, india,onsite,fulltime  midsenior level
81,senior lead implementation analyst automation,lifeworks (acquise par telus santé | acquired by telus health),human resources,7500,86062,77,noida,uttar pradesh, india,hybrid,fulltime  entry level
82,it delivery,infosys,information technology  services,10001,6987114,7,hyderabad,telangana, india,onsite,fulltime  midsenior level
83,l3 support consultant sfcc,litmus7,information technology  services,350,21852,27,kochi,kerala, india,hybrid,fulltime  associate
84,seo analyst,life at woods,government administration,126,791,76,hyderabad,telangana, india,onsite,fulltime
85,senior service operator,allegis global solutions,staffing  recruiting,3000,163552,64,hyderabad,telangana, india,hybrid,fulltime  midsenior level
86,abinitio with meta data bangalore,virtusa,information technology  services,10001,885736,32,karnataka,, india,hybrid,fulltime  midsenior level
87,senior manager cloud and devops,successive digital,information technology  services,750,58451,182,noida,uttar pradesh, india,onsite,fulltime  midsenior level
88,data analyst,ikea,retail,10001,2652482,200,bengaluru,karnataka, india,hybrid,fulltime
89,sr engineer ai mlops,alcon,medical device,10001,535459,42,bengaluru,karnataka, india,onsite,fulltime  midsenior level
90,it delivery,infosys,information technology  services,10001,6987122,1,bengaluru east,karnataka, india,onsite,fulltime  midsenior level
91,technical lead,wipro,information technology  services,10001,6921189,47,mumbai,maharashtra, india,onsite,fulltime
92,pega cssa clsa,process360 ltd,information technology  services,126,7573,98,hyderabad,telangana, india,hybrid,fulltime
93,anaplan modelling,tata consultancy services,information technology  services,10001,12345432,40,gurugram,haryana, india,hybrid,fulltime  midsenior level
94,technical lead client services,anthology inc,higher education,3000,37321,39,bengaluru,karnataka, india,onsite,fulltime  midsenior level
95,job opening for manhattan wms pan india,hcltech,information technology  services,10001,4675831,82,tamil nadu,, india,hybrid,fulltime  midsenior level
96,technical lead,miq,marketing  advertising,750,48092,31,bangalore urban,karnataka, india,hybrid,fulltime  midsenior level
97,tech lead mena technology,ey,information technology  services,10001,7366457,29,trivandrum,kerala, india,onsite,fulltime  midsenior level
98,java team lead,esales technologies,information technology  services,126,1251,17,coimbatore,tamil nadu, india,onsite,fulltime
99,senior product cyber security engineer ii,beckman coulter diagnostics,medical device,10001,257821,14,bengaluru,karnataka, india,hybrid,fulltime
100,technical lead,miq,marketing  advertising,750,48092,31,bangalore urban,karnataka, india,hybrid,fulltime  midsenior level
101,tax reporting compliance engineer,a.p. moller - maersk,transportationtruckingrailroad,10001,1539791,45,bengaluru,karnataka, india,hybrid,fulltime  midsenior level
102,lead software engineer full stack,nissan motor corporation,automotive,10001,1382219,26,trivandrum,kerala, india,onsite,fulltime
103,it delivery,infosys,information technology  services,10001,6987131,1,bengaluru east,karnataka, india,onsite,fulltime  midsenior level
104,lead software engineer,here technologies,information technology  services,7500,198842,25,bengaluru east,karnataka, india,hybrid,fulltime  midsenior level
105,head marketing sesa coke gujarat business,vedanta sesa goa,mining  metals,7500,27251,200,gujarat,, india,onsite,fulltime  midsenior level
106,senior java software engineer,advantal technologies private limited,information technology  services,126,11122,60,indore,madhya pradesh, india,onsite,fulltime
107,sr engineer ai mlops,alcon,medical device,10001,535461,42,bengaluru,karnataka, india,onsite,fulltime  midsenior level
108,iam specialist directory services staff augmentation,ey,information technology  services,10001,7366465,7,trivandrum,kerala, india,onsite,fulltime  associate
109,commercial leader,wabtec corporation,railroad manufacture,10001,131450,19,tamil nadu,, india,onsite,fulltime  midsenior level
110,superviseur distribution,bimbo bakeries usa,food production,10001,196540,31,jalalabad,punjab, india,onsite,contract  midsenior level
111,internal audit infosec specialist,accenture in india,information technology  services,10001,1628833,80,open area,delhi, india,hybrid,fulltime  midsenior level
112,engineer application management,lseg (london stock exchange group),financial services,10001,246025,77,bengaluru,karnataka, india,hybrid,fulltime  entry level
113,associate,pwc india,management consulting,7500,1079203,93,bengaluru,karnataka, india,onsite,fulltime  entry level
114,personal banker,dbs bank,banking,10001,819823,72,bengaluru south,karnataka, india,onsite,fulltime
115,senior software engineer,advanced,computer software,3000,51569,101,,,greater bengaluru area,hybrid,fulltime  midsenior level
116,technical specialist ms network,ntt global data centers,information technology  services,750,40828,21,mumbai,maharashtra, india,hybrid,fulltime  midsenior level
117,head marketing sesa coke gujarat business,vedanta sesa goa,mining  metals,7500,27251,200,gujarat,, india,onsite,fulltime  midsenior level
118,senior cloud architect,atotech an mks brand,chemicals,3000,54529,51,manesar,haryana, india,hybrid,fulltime  midsenior level
119,python developer,esds software solution limited,information technology  services,750,29740,102,nashik,maharashtra, india,onsite,fulltime
120,platform support engineer i cyber security,ust,information technology  services,10001,821597,36,thiruvananthapuram,kerala, india,onsite,fulltime  entry level
121,user interface developer,skaut,human resources,6,2186,19,kochi,kerala, india,onsite,fulltime
122,technical specialist ms aws,ntt global data centers,information technology  services,750,40830,57,mumbai,maharashtra, india,hybrid,fulltime  midsenior level
123,value stream leader,gkn automotive,automotive,10001,107997,155,sriperumbudur,tamil nadu, india,onsite,fulltime  midsenior level
124,oracle database administrator,tata consultancy services,information technology  services,10001,12346260,113,chennai,tamil nadu, india,onsite,fulltime  associate
125,senior data analystdata modellers,epam systems,information technology  services,10001,861706,118,hyderabad,telangana, india,remote,fulltime  associate
126,lead data analyst big data pyspark,citi,financial services,10001,4045391,89,bengaluru,karnataka, india,onsite,fulltime
127,senior analytics consultant,wells fargo,financial services,10001,2160649,3,bengaluru,karnataka, india,onsite,fulltime  midsenior level
128,senior data analyst,flexmoney technologies pvt ltd,financial services,30,11945,200,mumbai,maharashtra, india,onsite,fulltime  midsenior level
129,senior analytics consultant,wells fargo,financial services,10001,2160650,3,hyderabad,telangana, india,hybrid,fulltime  midsenior level
130,business intelligence specialist,vayuz technologies,information technology  services,126,35312,200,,,india,remote,fulltime  midsenior level
131,icg analytics markets,citi,financial services,10001,4045394,31,mumbai,maharashtra, india,onsite,fulltime
132,data analyst,twid,internet,30,11895,200,bengaluru,karnataka, india,onsite,fulltime  associate
133,data analyst,acme services,human resources,126,162453,200,mumbai,maharashtra, india,hybrid,fulltime  midsenior level
134,associate iii data analysis,ust,information technology  services,10001,821648,184,thiruvananthapuram,kerala, india,onsite,fulltime  midsenior level
135,senior data analystpower bipython,societe generale global solution centre,information technology  services,7500,256298,33,bengaluru,karnataka, india,hybrid,fulltime  entry level
136,expression of interest data analyst,fingerprint for success (f4s),computer software,30,106615,200,,,india,remote,fulltime  entry level
137,data science,transunion,information technology  services,10001,322050,22,pune,maharashtra, india,onsite,fulltime
138,sgef uk data transformation analyst,societe generale global solution centre,information technology  services,7500,256298,16,bengaluru,karnataka, india,hybrid,parttime  entry level
139,quantitative analytics specialist,wells fargo,financial services,10001,2160653,3,bengaluru,karnataka, india,onsite,fulltime  associate
140,data analyst 3,zynga,computer games,3000,212344,200,bengaluru,karnataka, india,hybrid,fulltime  midsenior level
141,analyst,crisil limited,financial services,3000,471962,200,,,mumbai metropolitan region,onsite,fulltime  entry level
142,interesting job opportunity tata power data scientist predictive modelingmachine learning,tata power,utilities,10001,1054843,200,mumbai,maharashtra, india,hybrid,fulltime  entry level
143,data analytics analyst financial crime,natwest group,banking,10001,549846,33,chennai,tamil nadu, india,onsite,fulltime  associate
144,data analyst,turing,information technology  services,3000,215907,200,,,india,remote,fulltime  entry level
145,data analystbi,excellence and eminence llp,professional training  coaching,30,1263,67,bengaluru north,karnataka, india,onsite,fulltime  midsenior level
146,data analyst,"saaki, argus and averil consulting",staffing  recruiting,126,3911,83,chennai,tamil nadu, india,onsite,fulltime  entry level
147,edata senior analyst,nielseniq,information services,10001,698865,17,gurugram,haryana, india,onsite,fulltime  midsenior level
148,spec analytics analyst c11 ds,citi,financial services,10001,4045398,5,bengaluru,karnataka, india,onsite,fulltime
149,inbusiness credit risk quality assurance data analyst for wealth management,citi,financial services,10001,4045398,14,mumbai,maharashtra, india,onsite,fulltime
150,senior consultant data analyticscpg038927,genpact,information technology  services,10001,2639232,63,gurugram,haryana, india,onsite,fulltime  associate
151,lead big data analyst,near,computer software,350,20546,10,,,greater bengaluru area,onsite,fulltime  midsenior level
152,senior power bi specialist,icf,management consulting,7500,169861,105,delhi cantonment,delhi, india,onsite,fulltime  midsenior level
153,data analystassistant managerpune,_vois,information technology  services,10001,139910,200,pune,maharashtra, india,onsite,fulltime  entry level
154,data analyst 6,iti data,information technology  services,350,6753,16,ramban,jammu & kashmir, india,hybrid,fulltime  entry level
155,sr analyst promotions insight,target,retail,10001,1682924,58,bengaluru,karnataka, india,onsite,fulltime  midsenior level
156,data researcher,s&p global,financial services,10001,353900,68,gurgaon,haryana, india,onsite,fulltime
157,eapudata analyst pu otstaff,ey,information technology  services,10001,7366822,57,trivandrum,kerala, india,onsite,fulltime  entry level
158,product analyst internship,moment,health wellness  fitness,30,1114,157,gurugram,haryana, india,onsite,internship
159,pharma forecasting,wns,outsourcingoffshoring,10001,645669,200,bengaluru east,karnataka, india,onsite,fulltime  midsenior level
160,data analyst big datapython,emproto technologies,information technology  services,126,5550,80,hyderabad,telangana, india,onsite,fulltime  entry level
161,data analyst,wsp,information technology  services,10001,713008,200,noida,uttar pradesh, india,hybrid,contract  entry level
162,data analyst,graphene ai,information technology  services,126,4996,4,bengaluru north,karnataka, india,hybrid,fulltime  midsenior level
163,senior data analyst sas power bi,exusia,management consulting,750,26226,200,bengaluru,karnataka, india,remote,fulltime
164,senior analytics consultant,wells fargo,financial services,10001,2160658,1,hyderabad,telangana, india,onsite,fulltime  midsenior level
165,business data analyst,m&g global services private limited,financial services,750,8726,200,mumbai,maharashtra, india,hybrid,fulltime
166,esg data analyst avp,deutsche bank,financial services,10001,1898280,194,mumbai,maharashtra, india,onsite,fulltime  midsenior level
167,data analyst data validation,m360 research,market research,350,16433,200,bengaluru,karnataka, india,hybrid,fulltime  associate
168,senior data analystdata modellers,epam systems,information technology  services,10001,861713,179,pune,maharashtra, india,remote,fulltime  associate
169,business intelligence specialist,al gihaz holding,electrical  electronic manufacturing,3000,136285,132,chennai,tamil nadu, india,onsite,fulltime  midsenior level
170,research data analyst senior data analyst,isg (information services group),information services,3000,42966,200,bengaluru,karnataka, india,onsite,fulltime  midsenior level
171,business intelligence senior specialist,ntt data services,information technology  services,10001,487139,31,hyderabad,telangana, india,onsite,fulltime  midsenior level
172,data analyst,s&p global,financial services,10001,353900,52,gurgaon,haryana, india,onsite,fulltime
173,lead analyst data management quantitative analysis,bny mellon,financial services,10001,497670,41,pune,maharashtra, india,onsite,fulltime
174,data analyst,collegedunia,information technology  services,750,132677,200,gurgaon,haryana, india,onsite,fulltime  entry level
175,analyst data analytics,tiaa,financial services,10001,166768,19,mumbai,maharashtra, india,onsite,fulltime  entry level
176,etl testing,codersbrain,information technology  services,350,58814,93,bengaluru,karnataka, india,remote,fulltime  associate
177,data analyst power bitableau,dsrc,information technology  services,350,4789,41,chennai,tamil nadu, india,onsite,fulltime  midsenior level
178,servicenow performance analytics and reporting analyst,workday,computer software,10001,761381,200,pune,maharashtra, india,hybrid,fulltime
179,senior business intelligence analyst,goguardian,elearning,750,31580,200,,,india,remote,fulltime  midsenior level
180,data analyst,dun & bradstreet technology and corporate services india llp,information services,750,9044,200,hyderabad,telangana, india,onsite,fulltime  midsenior level
181,data analyst,acme services,human resources,126,162453,200,mumbai,maharashtra, india,hybrid,fulltime  midsenior level
182,senior data analyst sas power bi,exusia,management consulting,750,26226,200,bengaluru,karnataka, india,remote,fulltime
183,senior consultant data analyticscpg038927,genpact,information technology  services,10001,2639250,63,gurugram,haryana, india,onsite,fulltime  associate
184,twid data analyst rsqlpython,twid,internet,30,11895,200,bengaluru,karnataka, india,onsite,fulltime  entry level
185,senior analytics consultant,wells fargo,financial services,10001,2160662,1,hyderabad,telangana, india,onsite,fulltime  midsenior level
186,senior business intelligence analyst bangkok based relocation provided,agoda,computer software,7500,449081,13,new delhi,delhi, india,hybrid,fulltime  midsenior level
187,postdoctoral researcher,amrita vishwa vidyapeetham,higher education,7500,72934,46,kollam,kerala, india,onsite,fulltime
188,associate iii data analysis,ust,information technology  services,10001,821651,107,thiruvananthapuram,kerala, india,hybrid,fulltime  midsenior level
189,senior analyst ime insights apac,guidepoint,information services,3000,120616,6,mumbai,maharashtra, india,hybrid,fulltime  midsenior level
190,marketing data analyst,purple drive technologies,information technology  services,126,72621,47,pune,maharashtra, india,onsite,fulltime
191,data analyst,entrupy,computer software,126,1867,182,bengaluru east,karnataka, india,hybrid,fulltime
192,principal data scientist,bny mellon,financial services,10001,497673,59,pune,maharashtra, india,onsite,fulltime
193,analyst wallets,crisil limited,financial services,3000,471963,121,mumbai,maharashtra, india,hybrid,fulltime  entry level
194,data analyst,jobdost,human resources,126,10565,21,bengaluru north,karnataka, india,onsite,fulltime  associate
195,eapudata analyst pu otstaff,ey,information technology  services,10001,7366840,70,trivandrum,kerala, india,onsite,fulltime  entry level
196,data scientistquantitative analyst,antier solutions,information technology  services,750,15052,10,sahibzada ajit singh nagar,punjab, india,hybrid,fulltime  midsenior level
197,data analyst tableau,sa technologies inc.,information technology  services,750,50733,126,mumbai,maharashtra, india,hybrid,fulltime  associate
198,data analyst 1,iti data,information technology  services,350,6753,6,ramban,jammu & kashmir, india,hybrid,fulltime  midsenior level
199,sr data analyst,credibly,financial services,126,8119,200,maharashtra,, india,remote,fulltime  midsenior level
200,business data analyst,solytics partners,financial services,350,3646,71,pune,maharashtra, india,onsite,fulltime  associate
201,apply for junior research analyst benchmarking kpo,incisive research,market research,126,1263,71,delhi,delhi, india,hybrid,fulltime  entry level
202,associate statistician,gsk,pharmaceuticals,10001,3563536,113,bengaluru,karnataka, india,onsite,fulltime
203,dataanalystqlikviewdeepanshittp,codersbrain,information technology  services,350,58815,25,bengaluru,karnataka, india,remote,fulltime  midsenior level
204,senior lead data analyst,atkins,design,10001,789935,7,bengaluru,karnataka, india,onsite,fulltime  midsenior level
205,data analyst,flobiz,information technology  services,126,17321,200,bengaluru,karnataka, india,onsite,fulltime  entry level
206,power bi consultant 1 1,worldline,financial services,10001,191666,173,delhi,delhi, india,hybrid,fulltime  midsenior level
207,inbusiness credit risk quality assurance data analyst for wealth management,citi,financial services,10001,4045415,14,mumbai,maharashtra, india,onsite,fulltime
208,data operations analyst irc179903,globallogic,computer software,10001,739567,20,bengaluru,karnataka, india,onsite,fulltime  director
209,data analystengineer,turing,information technology  services,3000,215916,172,,,india,remote,fulltime  entry level
210,lead quantitative analytics specialist,wells fargo,financial services,10001,2160672,1,hyderabad,telangana, india,onsite,fulltime  midsenior level
211,analyst aws snowflake,coforge,information technology  services,10001,400599,200,noida,uttar pradesh, india,hybrid,fulltime  midsenior level
212,senior quantitative analytics specialist,wells fargo,financial services,10001,2160672,-1,hyderabad,telangana, india,onsite,fulltime  midsenior level
213,data analyst,right advisors private limited,human resources,126,21074,14,kolar,karnataka, india,onsite,fulltime  entry level
214,data analyst 9,iti data,information technology  services,350,6753,18,ramban,jammu & kashmir, india,hybrid,fulltime  entry level
215,lead data analyst data operations,s&p global,financial services,10001,353902,193,gurgaon,haryana, india,onsite,fulltime
216,data analyst,collegedunia,information technology  services,750,132679,200,gurgaon,haryana, india,onsite,fulltime  entry level
217,data researcher iii,s&p global,financial services,10001,353903,72,ahmedabad,gujarat, india,onsite,fulltime
218,data analyst,spendflo,information technology  services,126,7423,200,chennai,tamil nadu, india,hybrid,fulltime  associate
219,product engineer i matching data analyst,experian,information services,10001,580519,103,mumbai,maharashtra, india,hybrid,fulltime  midsenior level
220,senior data analyst,atkins,design,10001,789935,11,bengaluru,karnataka, india,hybrid,fulltime  midsenior level
221,marketing operations data analyst,hewlett packard enterprise,information technology  services,10001,3575870,38,bengaluru,karnataka, india,onsite,fulltime
222,senior analytic consultant,wells fargo,financial services,10001,2160675,2,bengaluru,karnataka, india,onsite,fulltime  midsenior level
223,lead ii data analysis,ust,information technology  services,10001,821656,171,bengaluru,karnataka, india,onsite,fulltime  midsenior level
224,marketing operations data analyst,hewlett packard enterprise,information technology  services,10001,3575869,38,bengaluru,karnataka, india,onsite,fulltime
225,lead analytics consultant,wells fargo,financial services,10001,2160675,-1,hyderabad,telangana, india,onsite,fulltime  midsenior level
226,business and data analyst,raise financial services,financial services,30,32134,200,mumbai,maharashtra, india,onsite,fulltime  associate
227,lead analyst data management quantitative analysis,bny mellon,financial services,10001,497679,48,pune,maharashtra, india,onsite,fulltime
228,interesting job opportunity beepkart senior data analyst,beepkart,automotive,126,2325,9,bengaluru,karnataka, india,onsite,fulltime  midsenior level
229,expression of interest data analyst,fingerprint for success (f4s),computer software,30,106621,200,,,india,remote,fulltime  entry level
230,forecasting analyst,newage products inc.,consumer goods,350,12030,200,,,india,remote,fulltime
231,data analyst,dimensions hrd consultants,human resources,126,22088,200,,,pune/pimpri-chinchwad area,onsite,fulltime  entry level
232,senior business intelligence analyst,applyboard,internet,3000,67042,200,gurgaon,haryana, india,onsite,fulltime  midsenior level
233,manager business analyst 710 years experience in pharma fmcg startup,antal international,staffing  recruiting,3000,674952,40,mumbai,maharashtra, india,onsite,fulltime
234,eapudata analyst pu otstaff,ey,information technology  services,10001,7366866,68,mumbai,maharashtra, india,onsite,fulltime  entry level
235,customer analytics insights lead analystassistant manager,s&p global,financial services,10001,353906,138,bengaluru,karnataka, india,onsite,fulltime
236,senior data analyst,novo,financial services,350,15448,151,bengaluru,karnataka, india,hybrid,fulltime  midsenior level
237,data analyst,entrupy,computer software,126,1867,182,bengaluru east,karnataka, india,hybrid,fulltime
238,data transformation analyst ii,s&p global,financial services,10001,353905,41,hyderabad,telangana, india,onsite,fulltime
239,senior business intelligence analyst,wolters kluwer,information services,10001,217960,181,pune,maharashtra, india,onsite,fulltime  midsenior level
240,senior analytic consultant,infiniti research ltd.,market research,750,109898,200,bengaluru,karnataka, india,hybrid,fulltime  midsenior level
241,sr analytics consultant,experian,information services,10001,580522,46,mumbai,maharashtra, india,hybrid,fulltime  midsenior level
242,lead analytics consultant,wells fargo,financial services,10001,2160678,-1,chennai,tamil nadu, india,onsite,fulltime  midsenior level
243,data analyst,dimensions hrd consultants,human resources,126,22088,200,,,pune/pimpri-chinchwad area,onsite,fulltime  entry level
244,kaleidofin data analyst pythonsql,kaleidofin private limited,financial services,126,7728,119,bengaluru,karnataka, india,onsite,fulltime  entry level
245,data analyst,right advisors private limited,human resources,126,21074,200,chennai,tamil nadu, india,onsite,fulltime  entry level
246,senior analyst data management quantitative analysis,bny mellon,financial services,10001,497681,12,pune,maharashtra, india,onsite,fulltime
247,data analyst data scientist,gfl recruitment private limited,staffing  recruiting,30,7565,77,mumbai,maharashtra, india,onsite,fulltime  entry level
248,data analyst,toolyt,utilities,30,2944,200,bengaluru,karnataka, india,onsite,fulltime  entry level
249,associate iii data analysis,ust,information technology  services,10001,821657,185,thiruvananthapuram,kerala, india,onsite,fulltime  midsenior level
250,lead data analyst,learningmate,elearning,3000,89879,200,mumbai,maharashtra, india,hybrid,fulltime  entry level
251,azure data analyst,system soft technologies,information technology  services,750,189585,200,,,india,remote,contract  midsenior level
252,data analystobiaobieeodietl,"ge appliances, a haier company",consumer goods,10001,59249,200,hyderabad,telangana, india,onsite,fulltime  entry level
253,analytics reporting specialist,nokia,telecommunications,10001,1513463,75,chennai,tamil nadu, india,onsite,fulltime
254,data analyst,laundryheap,consumer services,126,14194,200,bengaluru,karnataka, india,onsite,fulltime
255,data analyst,turing,information technology  services,3000,215918,200,,,india,remote,fulltime  entry level
256,sr business intelligence bi analyst,te connectivity,electrical  electronic manufacturing,10001,508933,50,bengaluru,karnataka, india,onsite,fulltime  midsenior level
257,senior bi analyst,hexagon asset lifecycle intelligence,computer software,10001,97670,11,hyderabad,telangana, india,onsite,fulltime  midsenior level
258,data analyst,optum,hospital  health care,10001,648091,200,noida,uttar pradesh, india,onsite,fulltime  entry level
259,data analyst,eteam,staffing  recruiting,750,282968,55,pune,maharashtra, india,hybrid,contract  entry level
260,eapudata analyst pu otstaff,ey,information technology  services,10001,7366882,72,kolkata,west bengal, india,onsite,fulltime  entry level
261,business data analyst,lg ad solutions,marketing  advertising,350,12132,107,bengaluru,karnataka, india,onsite,fulltime  midsenior level
262,data analyst,springer nature technology and publishing solutions,information technology  services,3000,93613,158,pune,maharashtra, india,onsite,fulltime  midsenior level
263,lead data analyst,vestas,renewables  environment,10001,839375,200,chennai,tamil nadu, india,onsite,fulltime  midsenior level
264,senior data analyst,atkins,design,10001,789939,5,bengaluru,karnataka, india,onsite,fulltime  midsenior level
265,senior data management analyst,wells fargo,financial services,10001,2160679,1,bengaluru,karnataka, india,onsite,fulltime  midsenior level
266,senior data analyst,novo,financial services,350,15449,151,bengaluru,karnataka, india,hybrid,fulltime  midsenior level
267,data analyst,fitelo,health wellness  fitness,350,13242,200,sahibzada ajit singh nagar,punjab, india,onsite,fulltime  entry level
268,senior data analyst,funding societies | modalku group,financial services,350,52631,200,bengaluru,karnataka, india,remote,fulltime  midsenior level
269,data analyst,aecom,civil engineering,10001,1650345,200,bengaluru east,karnataka, india,hybrid,fulltime  entry level
270,data research analyst,berkadia,financial services,3000,87015,200,hyderabad,telangana, india,onsite,fulltime  midsenior level
271,lead data analyst,citi,financial services,10001,4045428,156,chennai,tamil nadu, india,onsite,fulltime
272,big data developer analyst,experian,information services,10001,580528,141,hyderabad,telangana, india,hybrid,fulltime  midsenior level
273,senior analytics consultant,wells fargo,financial services,10001,2160681,1,hyderabad,telangana, india,onsite,fulltime  midsenior level
274,power bi,diverse lynx,computer software,3000,73255,17,delhi,delhi, india,onsite,contract  associate
275,interesting job opportunity transorg analytics data science lead pythonsqlr,transorg analytics,information services,126,11140,7,mumbai,maharashtra, india,onsite,fulltime  midsenior level
276,interesting job opportunity business analyst data analytics,hiring prism,human resources,6,1882,4,mumbai,maharashtra, india,onsite,fulltime  midsenior level
277,data analyst,reality premedia services pvt ltd,information technology  services,350,4619,7,pune,maharashtra, india,hybrid,fulltime  midsenior level
278,business analyst data science,payu,financial services,3000,196997,129,bengaluru,karnataka, india,hybrid,fulltime  midsenior level
279,lead ii data analysis,ust,information technology  services,10001,821658,123,bengaluru,karnataka, india,onsite,fulltime  midsenior level
280,product analyst,rupifi,financial services,126,19770,21,bengaluru north,karnataka, india,onsite,fulltime  midsenior level
281,lead ii data analysis,ust,information technology  services,10001,821658,56,thiruvananthapuram,kerala, india,onsite,fulltime  midsenior level
282,senior lead analytics consultant,wells fargo,financial services,10001,2160684,-1,chennai,tamil nadu, india,onsite,fulltime  midsenior level
283,reference data management index and benchmark analyst,jpmorgan chase & co.,financial services,10001,3791484,54,mumbai,maharashtra, india,onsite,fulltime
284,advanced analytics specialist,hewlett packard enterprise,information technology  services,10001,3575875,12,bengaluru,karnataka, india,onsite,fulltime
285,principal quantitative analysis data analyticsstatistical analysis,gartner,information services,10001,1538132,16,gurgaon,haryana, india,hybrid,fulltime
286,data analyst senior associate,pwc,accounting,10001,5085496,64,hyderabad,telangana, india,onsite,fulltime  midsenior level
287,advanced analytics specialist,hewlett packard enterprise,information technology  services,10001,3575875,12,bengaluru,karnataka, india,onsite,fulltime
288,data analyst,acme services,human resources,126,162469,200,mumbai,maharashtra, india,onsite,fulltime  midsenior level
289,power bi,diverse lynx,computer software,3000,73258,21,gurgaon,haryana, india,hybrid,contract  associate
290,data analyst,ampstek,information technology  services,3000,203075,182,hyderabad,telangana, india,onsite,fulltime  entry level
291,item data analyst,target,retail,10001,1682935,166,bengaluru,karnataka, india,onsite,fulltime  entry level
292,business intelligence specialist,ideslabs private limited,information technology  services,126,89717,59,bangalore urban,karnataka, india,onsite,fulltime  entry level
293,data scienceconsultant operation research,wipro,information technology  services,10001,6921754,110,bengaluru,karnataka, india,onsite,fulltime
294,bi specialist qlik pricing analytics bangalore,chubb,insurance,10001,678233,200,,,greater bengaluru area,hybrid,fulltime  midsenior level
295,data researcher iii,s&p global,financial services,10001,353911,200,gurgaon,haryana, india,onsite,fulltime
296,statistician,ibm,information technology  services,10001,15195986,60,kochi,kerala, india,onsite,fulltime
297,interesting job opportunity kreditbee data analystsenior data analyst pythonsql,kreditbee,financial services,3000,21881,180,bengaluru,karnataka, india,onsite,fulltime  midsenior level
298,senior analyst data science r13734,dun & bradstreet,information services,7500,191891,46,chennai,tamil nadu, india,onsite,fulltime  midsenior level
299,customer senior data analyst for ecommerce,hp,information technology  services,10001,5197350,200,bengaluru,karnataka, india,hybrid,fulltime  midsenior level
