,Job Title Cleaned,Company,Industry,Employees_Avg,Followers_Numbers,New Applicants,City,State,Country,Job_type_cleaned,Type of role cleaned
999,am analyticsana006097,genpact,information technology  services,10001,2639053,144,bengaluru,karnataka, india,onsite,fulltime  associate
1000,principal technical consultant customer delivery,calypso technology,computer software,750,118178,45,mumbai,maharashtra, india,hybrid,fulltime  midsenior level
1001,sap ecbib consultant,ntt data business solutions india,information technology  services,10001,25961,20,hyderabad,telangana, india,onsite,fulltime  midsenior level
1002,solution architect demand planning consulting,"o9 solutions, inc.",computer software,3000,266361,132,bangalore urban,karnataka, india,hybrid,fulltime  midsenior level
1003,sitecore,valuelabs,information technology  services,7500,534435,29,hyderabad,telangana, india,onsite,fulltime  midsenior level
1004,software engineer instructor,general assembly,higher education,750,193876,63,uttar pradesh,, india,hybrid,temporary
1005,abinitio with meta data bangalore,virtusa,information technology  services,10001,885805,32,karnataka,, india,hybrid,fulltime  midsenior level
1006,analytics and modeling specialistoperations excellence,accenture in india,information technology  services,10001,1628874,28,gurgaon,haryana, india,onsite,fulltime  midsenior level
1007,python web scraping facetoface interview,infiniti research ltd.,market research,750,109878,100,bengaluru,karnataka, india,onsite,contract  entry level
1008,netsuite oneworld developer,crypto.com,financial services,3000,507881,29,bengaluru,karnataka, india,hybrid,fulltime  associate
1009,cloud software architect,"tarana wireless, inc.",telecommunications,350,49715,60,pune,maharashtra, india,hybrid,fulltime  midsenior level
1010,job opening for kinaxis pan india,hcltech,information technology  services,10001,4675985,107,tamil nadu,, india,hybrid,fulltime  midsenior level
1011,technical leadintegration and deployment,idemia,computer software,10001,511180,17,mumbai,maharashtra, india,onsite,fulltime  midsenior level
1012,market data analysis work from home jobinternship at messold technologies,messold technologies,marketing  advertising,30,1444,200,,,india,remote,fulltime  internship
1013,soc verification lead,renesas electronics,semiconductors,10001,158101,33,hyderabad,telangana, india,hybrid,fulltime  midsenior level
1014,technical lead ml engineering,landis+gyr,electrical  electronic manufacturing,7500,68123,29,noida,uttar pradesh, india,hybrid,fulltime  midsenior level
1015,itom servicenow developer,"enable, a fujitsu company",information technology  services,350,40682,79,bengaluru,karnataka, india,hybrid,fulltime  midsenior level
1016,senior reports developer,akzonobel,chemicals,10001,668470,10,pune,maharashtra, india,onsite,fulltime
1017,ey gds consulting da aws de staff,ey,information technology  services,10001,7366583,38,kanayannur,kerala, india,onsite,fulltime  entry level
1018,beyondtrust developer,merrin & associates,staffing  recruiting,30,43728,26,bengaluru,karnataka, india,hybrid,fulltime  midsenior level
1019,technical blog writing work from home jobinternship at coding ninjas,coding ninjas,elearning,126,315364,130,,,india,remote,parttime  internship
1020,sap mdg consultant,infosys,information technology  services,10001,6987269,4,bengaluru east,karnataka, india,hybrid,fulltime  midsenior level
1021,its transfer pricing senior,ey,information technology  services,10001,7366587,30,bengaluru,karnataka, india,onsite,fulltime  midsenior level
1022,workday architect,mri software,computer software,3000,41632,8,bangalore rural,karnataka, india,onsite,fulltime  midsenior level
1023,spark programmer,kagool,information technology  services,750,34057,27,hyderabad,telangana, india,onsite,fulltime
1024,metrics reporting developer it security operation,novo nordisk,pharmaceuticals,10001,1438445,5,bengaluru,karnataka, india,hybrid,fulltime
1025,jda consultant,infosys,information technology  services,10001,6987273,94,bengaluru east,karnataka, india,onsite,fulltime  midsenior level
1026,qualtrics developer,wipro digital,information technology  services,10001,173516,54,bengaluru,karnataka, india,hybrid,fulltime  midsenior level
1027,technical expert semantics and knowledge graphs,siemens,industrial automation,10001,6053316,47,bengaluru,karnataka, india,onsite,fulltime  midsenior level
1028,workday technical senior associate 2 bangalore,pwc acceleration centers,information technology  services,10001,281592,9,bengaluru,karnataka, india,onsite,fulltime  midsenior level
1029,management trainee rtrhms028579,genpact,information technology  services,10001,2639068,122,hyderabad,telangana, india,hybrid,fulltime  associate
1030,sap sac planning,cognizant,information technology  services,10001,6153703,17,chennai,tamil nadu, india,hybrid,fulltime  midsenior level
1031,application development analystintelligent automation enablement,accenture in india,information technology  services,10001,1628884,13,bengaluru,karnataka, india,onsite,fulltime  entry level
1032,data saas developer,simcorp,computer software,3000,37557,53,noida,uttar pradesh, india,hybrid,fulltime  midsenior level
1033,acr fo staff,ey,information technology  services,10001,7366600,35,trivandrum,kerala, india,onsite,fulltime  entry level
1034,developer aws and pythonpyspark,exl health,hospital  health care,10001,30931,200,noida,uttar pradesh, india,hybrid,fulltime  executive
1035,associate architect big data,quantiphi,information technology  services,3000,216485,117,bengaluru,karnataka, india,hybrid,fulltime  associate
1036,compiler developer,amd,semiconductors,10001,1068712,167,hyderabad,telangana, india,hybrid,fulltime  midsenior level
1037,sap sac consultant,infosys,information technology  services,10001,6987289,183,bengaluru east,karnataka, india,onsite,fulltime  midsenior level
1038,sap sac planning,cognizant,information technology  services,10001,6153714,17,chennai,tamil nadu, india,hybrid,fulltime  midsenior level
